"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
32580,怀远分输站,"010102005000413",117.18933245684828,32.97426832305959,分输站,安徽省,蚌埠市,怀远县,,
32581,五河分输站,"010102005000414",117.78046537913414,33.131265244930034,分输站,安徽省,蚌埠市,五河县,,
32573,温州末站,"010102003000155",120.56846889395757,28.075911914173933,末站,浙江省,温州市,鹿城区,,
32574,龙游站,"010102003000156",119.22044861708913,29.034500938575462,末站,浙江省,衢州市,龙游县,,
32575,常山站,"010102003000157",118.51120547972498,28.997427884315446,末站,浙江省,衢州市,常山县,,
32576,江山站,"010102003000158",118.60859750984248,28.704385559465823,末站,浙江省,衢州市,江山市,,
32577,临泉分输站,"010102005000410",115.2155325810652,33.06968154980205,分输站,安徽省,阜阳市,临泉县,,
32578,界首分输站,"010102005000411",115.35047604148667,33.2610398836844,分输站,安徽省,阜阳市,界首市,,""
32582,凤阳分输站,"010102005000415",117.50352917164419,32.85676008525959,分输站,安徽省,滁州市,凤阳县,,
32586,凤台分输站,"010102005000419",116.70460024135328,32.691650122688976,分输站,安徽省,淮南市,凤台县,,
32587,明光站,"010102003000159",118.00265867182473,32.78425422090578,末站,安徽省,滁州市,明光市,,
32583,淮南分输站,"010102005000416",117.08548641499507,32.689783219737414,分输站,安徽省,淮南市,大通区,,
32584,望峰分输站,"010102005000417",116.89835224871788,32.61530920741194,分输站,安徽省,淮南市,谢家集区,,
32585,寿县分输站,"010102005000418",116.80679208591647,32.56987962599839,分输站,安徽省,淮南市,寿县,,
32588,二坝工业园分输站,"010102005000420",118.25940331282456,31.319514069032476,分输站,安徽省,芜湖市,鸠江区,,
32589,滨江新区分输站,"010102005000421",118.25893399788583,31.448924464709226,分输站,安徽省,芜湖市,鸠江区,,
32590,含山分输站,"010102005000422",118.09285514980405,31.753138634649986,分输站,安徽省,马鞍山市,含山县,,
32592,全椒分输站,"010102005000424",118.22191677681668,32.08426972131695,分输站,安徽省,滁州市,全椒县,,
32591,和县分输站,"010102005000423",118.34857316375778,31.774660945129966,分输站,安徽省,马鞍山市,和县,,
34402,临湘站,"010102006000042",113.45835525653669,29.479857233170126,末站,湖南省,岳阳市,临湘市,,
